Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
16-Dec-16,Fairbanks Hospital,,Indiana,DISC,MED,"12,994","Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
13-Feb-17,St. Joseph's Hospital and Medical Center,,Arizona,DISC,MED,623,"Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,40.760537,-73.97889
13-Feb-17,2020 On-Site Optometry,,Massachusetts,HACK,MED,"15,400","Location of breached information: Network Server
Business associate present: Yes
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,42.407211,-71.382437
19-Feb-17,Chadron Community Hospital & Health Services,,Nebraska,DISC,MED,702,"Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,41.492537,-99.901813
28-Feb-17,Sharp Memorial Hospital,,California,PHYS,MED,754,"Location of breached information: Laptop, Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,40.760537,-73.97889
1-Mar-17,Memphis VA Medical Center,,Tennessee,DISC,MED,687,"Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,35.517491,-86.580447
9-Mar-17,St. Louis Children's Hospital,,Missouri,DISC,MED,643,"Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,37.964253,-91.831833
17-Mar-17,Houston Methodist Hospital,,Texas,DISC,MED,"1,417","Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,31.968599,-99.901813
4-Apr-17,Carson Valley Medical Center,,Nevada,DISC,MED,"11,368","Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,38.80261,-116.419389
26-Apr-17,Memorial Hospital Clinic South,,Texas,HACK,MED,842,"Memorial Hospital Clinic South reported a breach when computer malware (i.e.,ransomware) was found on its network server. This breach affected the protected health information (PHI) of 842 individuals, and included clinical and demographic information. The specific types of PHI involved in the breach included addresses, birthdates, driver's license numbers, names, social security numbers, diagnoses/conditions, lab results, medications, and other treatment information. This review has been consolidated with another review of this covered entity.
Location of breached information: Electronic Medical Record, Network Server
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx?subfolder=2015,2014,31.968599,-99.901813
9-May-17,New York City Health and Hospitals Corporation - Coney Island Hospital,,New York,DISC,MED,"3,494","Location of breached information: Other, Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,40.712784,-74.005941
18-May-17,Kennewick General Hospital dba Trios Health,,Washington,DISC,MED,569,"Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,47.751074,-120.740139
19-May-17,Children's Mercy Hospital,,Missouri,DISC,MED,"5,511","Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,37.964253,-91.831833
24-May-17,"D. Andrew Loomis MD, Paula Schulze MD,Tammara Stefanelli MD, Christen Vu DO, Anja Crider MD",,Washington,HACK,MED,"9,000","Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,40.760537,-73.97889
7-Jun-17,Southwest Community Health Center,,Connecticut,PHYS,MED,"6,000","Location of breached information: Desktop Computer, Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,41.603221,-73.087749
19-Jun-17,Torrance Memorial Medical Center,,California,HACK,MED,"46,632","Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,40.760537,-73.97889
22-Jun-17,Saint Thomas Rutherford Hospital,,Tennessee,PHYS,MED,"2,837","Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,35.517491,-86.580447
